Top 100 Sort By Count
Count    Total     Mean   Stddev     Min   P50.0   P99.9     Max   2xx   3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
 7   1.964  GET /api/livestream/search?tag=%E3%82%B7%E3%83%B3%E3%82%B0%E3%83%AB%E3%83%97%E3%83%AC%E3%82%A4 HTTP/1.1
 8   1.935  GET /api/livestream/search?tag=%E6%9C%9D%E6%B4%BB HTTP/1.1
 9   1.896  GET /api/livestream/search?tag=%E4%BB%AE%E6%83%B3%E9%80%9A%E8%B2%A8 HTTP/1.1
10   1.863  GET /api/livestream/search?tag=%E7%94%9F%E8%AA%95%E7%A5%AD HTTP/1.1
11   1.862  GET /api/livestream/search?tag=%E3%81%8A%E6%96%99%E7%90%86%E9%85%8D%E4%BF%A1 HTTP/1.1
12   1.785  GET /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81 HTTP/1.1
13   1.771  GET /api/livestream/search?tag=%E3%83%A1%E3%82%A4%E3%82%AF HTTP/1.1
14   1.768  GET /api/livestream/search?tag=%E3%82%AC%E3%83%BC%E3%83%87%E3%83%8B%E3%83%B3%E3%82%B0 HTTP/1.1
15   1.756  GET /api/livestream/search?tag=%E3%83%A8%E3%82%AC HTTP/1.1
16   1.755  GET /api/livestream/search?tag=%E3%83%90%E3%83%B3%E3%83%89%E3%82%BB%E3%83%83%E3%82%B7%E3%83%A7%E3%83%B3 HTTP/1.1
17   1.706  GET /api/livestream/search?tag=%E3%83%AC%E3%82%B7%E3%83%94%E7%B4%B9%E4%BB%8B HTTP/1.1
18   1.508  GET /api/livestream/search?tag=%E3%82%A4%E3%83%99%E3%83%B3%E3%83%88%E7%94%9F%E6%94%BE%E9%80%81 HTTP/1.1
19   1.403  GET /api/livestream/search?tag=%E3%83%A9%E3%82%A4%E3%83%95%E3%83%8F%E3%83%83%E3%82%AF HTTP/1.1
20   0.994  GET /api/livestream/7541/reaction HTTP/1.1
21   0.971  GET /api/livestream/7541/livecomment HTTP/1.1
22   0.958  GET /api/livestream/7524/reaction HTTP/1.1
23   0.948  GET /api/livestream/7541/reaction HTTP/1.1
24   0.937  GET /api/livestream/7524/reaction HTTP/1.1
25   0.935  GET /api/livestream/7532/livecomment HTTP/1.1
26   0.922  GET /api/livestream/7524/livecomment HTTP/1.1
27   0.920  GET /api/livestream/7541/livecomment HTTP/1.1
28   0.918  GET /api/livestream/7541/livecomment HTTP/1.1
29   0.910  GET /api/livestream/7524/livecomment HTTP/1.1
30   0.908  GET /api/livestream/7524/livecomment HTTP/1.1
31   0.905  GET /api/livestream/7538/livecomment HTTP/1.1
32   0.899  GET /api/livestream/7524/livecomment HTTP/1.1
33   0.896  GET /api/livestream/7524/livecomment HTTP/1.1
34   0.866  GET /api/livestream/7532/livecomment HTTP/1.1
35   0.857  GET /api/livestream/7524/livecomment HTTP/1.1
36   0.855  GET /api/livestream/7524/livecomment HTTP/1.1
37   0.853  GET /api/livestream/7524/reaction HTTP/1.1
